rank;word;freq;#texts;%caps;blog;web;TVM;spok;fic;mag;news;acad;blogPM;webPM;TVMPM;spokPM;ficPM;magPM;newsPM;acadPM
3935;subsequent;21619;15658;0,07;2260;3580;187;643;686;2722;1775;9766;18,19;27,84;1,46;5,10;5,80;21,59;14,58;81,53
3936;karen;21617;7596;0,98;1245;1278;3846;3212;5284;2460;2945;1108;10,02;9,94;30,03;25,46;44,66;19,51;24,19;9,25
3937;funeral;21607;11138;0,11;1006;1458;4078;2994;5068;2315;3792;895;8,10;11,34;31,84;23,74;42,83;18,36;31,15;7,47
3938;mars;21601;5671;0,97;1861;2482;2557;2022;3261;6322;1559;1507;14,98;19,30;19,96;16,03;27,56;50,14;12,81;12,58
3939;celebrate;21573;17125;0,06;2877;2505;3549;2633;1629;3493;3495;1390;23,15;19,48;27,71;20,87;13,77;27,70;28,71;11,60
3940;grandfather;21573;10665;0,10;1465;1523;3237;1849;7619;2410;2451;1019;11,79;11,84;25,27;14,66;64,39;19,11;20,13;8,51
3941;fears;21570;16351;0,04;2535;2830;1287;2837;1873;3361;3752;3095;20,40;22,00;10,05;22,49;15,83;26,66;30,82;25,84
3942;fame;21569;14051;0,43;2100;2800;1322;2589;1160;4180;6352;1064;16,90;21,77;10,32;20,53;9,80;33,15;52,18;8,88
3943;executives;21558;12602;0,05;1939;2167;308;2130;354;4168;9200;1292;15,61;16,85;2,40;16,89;2,99;33,06;75,57;10,79
3944;fortune;21556;15460;0,30;2072;2599;3052;1906;3356;4688;2636;1247;16,68;20,21;23,83;15,11;28,36;37,18;21,65;10,41
3945;emerging;21555;15338;0,09;2320;2763;219;1263;1273;3791;2812;7113;18,67;21,48;1,71;10,01;10,76;30,07;23,10;59,38
3946;locations;21540;14903;0,03;3095;3450;661;1187;576;3406;4139;5025;24,91;26,82;5,16;9,41;4,87;27,01;34,00;41,95
3947;bite;21533;15489;0,07;1890;2016;5122;2038;4821;2900;2040;542;15,21;15,67;39,99;16,16;40,74;23,00;16,76;4,52
3948;behalf;21531;16497;0,01;2971;3780;1814;3086;1105;2516;3251;3008;23,91;29,39;14,16;24,47;9,34;19,95;26,70;25,11
3949;landing;21529;12690;0,14;2123;2292;1974;1980;4746;4323;3204;874;17,09;17,82;15,41;15,70;40,11;34,28;26,32;7,30
3950;proven;21522;16697;0,02;5250;4222;1162;2387;850;2952;2350;2349;42,25;32,83;9,07;18,92;7,18;23,41;19,30;19,61
3951;label;21520;13636;0,05;3597;3700;1127;1838;1263;4450;3166;2378;28,95;28,77;8,80;14,57;10,67;35,29;26,01;19,85
3952;amazon;21515;7449;0,97;6328;5224;554;1348;396;4628;1905;1132;50,93;40,62;4,33;10,69;3,35;36,70;15,65;9,45
3953;hussein;21513;6782;1,00;979;1262;298;11659;192;1922;3936;1246;7,88;9,81;2,33;92,43;1,62;15,24;32,33;10,40
3954;discrimination;21511;9013;0,06;2347;3857;253;2454;201;2309;3276;6814;18,89;29,99;1,98;19,46;1,70;18,31;26,91;56,88
3955;tale;21472;14736;0,11;2345;3296;1662;1642;3071;3280;3643;2533;18,87;25,63;12,98;13,02;25,95;26,01;29,92;21,15
3956;promises;21470;16199;0,04;3084;3425;1427;2799;1559;3344;3498;2334;24,82;26,63;11,14;22,19;13,18;26,52;28,73;19,48
3957;gains;21461;12962;0,03;2880;3135;240;2336;275;3868;3709;5018;23,18;24,38;1,87;18,52;2,32;30,68;30,47;41,89
3958;alleged;21460;14111;0,02;2422;3057;574;4587;400;2972;5175;2271;19,49;23,77;4,48;36,37;3,38;23,57;42,51;18,96
3959;contrary;21454;16034;0,15;3556;4511;973;1372;1248;2393;1777;5623;28,62;35,07;7,60;10,88;10,55;18,98;14,60;46,94
3960;fee;21446;11637;0,06;2933;3970;1195;1033;1051;3774;5324;2166;23,60;30,87;9,33;8,19;8,88;29,93;43,73;18,08
